MapeoID,PreguntaID,OpcionID,ActividadConfiguracion,Transaccion,RutaIMG,TablaCampo,ValorPropuesto,Notas
m1,p_bukrs,,Definir la sociedad (crear/copiar),OX02 / EC01,"Estructura de la empresa > Definición > Gestión financiera > Tratar, copiar, borrar, verificar sociedad",T001-BUKRS,{respuesta},Se recomienda copiar desde una sociedad de referencia para heredar parametrizaciones.
m2,p_nombre,,Datos de la sociedad: razón social y dirección,OX02,"Estructura de la empresa > Definición > Gestión financiera > Tratar, copiar, borrar, verificar sociedad",T001-BUTXT / ADRC,{respuesta},Completar también la dirección completa (botón Dirección en OX02).
m3,p_pais,o_pais_co,Asignar país y esquema de impuestos Colombia,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,"LAND1 = CO; Esquema = TAXCO","Verificar localización Colombia (medios magnéticos, facturación electrónica)."
m4,p_pais,o_pais_mx,Asignar país y esquema de impuestos México,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,"LAND1 = MX; Esquema = TAXMX","Considerar localización México (CFDI, complementos de pago)."
m5,p_pais,o_pais_pe,Asignar país y esquema de impuestos Perú,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,"LAND1 = PE; Esquema = TAXPE",Considerar libros electrónicos PLE/SIRE.
m6,p_pais,o_pais_cl,Asignar país y esquema de impuestos Chile,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,"LAND1 = CL; Esquema = TAXCL",Considerar DTE (documentos tributarios electrónicos).
m7,p_pais,o_pais_us,Asignar país y esquema de impuestos EE. UU.,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,"LAND1 = US; Esquema = TAXUSJ (jurisdicciones)",Evaluar uso de motor externo de impuestos (Vertex/Sabrix).
m8,p_pais,o_pais_otro,Asignar país y esquema de impuestos del país correspondiente,OX02 / OBBG,Gestión financiera > Parametrizaciones básicas > Impuesto sobre vol. de negocios > Asignar país a esquema de cálculo,T001-LAND1 / T005-KALSM,Según país (verificar esquema estándar TAXxx),Revisar notas de localización SAP del país.
m9,p_moneda,o_mon_cop,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,COP,
m10,p_moneda,o_mon_mxn,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,MXN,
m11,p_moneda,o_mon_pen,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,PEN,
m12,p_moneda,o_mon_clp,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,CLP,
m13,p_moneda,o_mon_usd,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,USD,
m14,p_moneda,o_mon_eur,Definir moneda local de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-WAERS,EUR,
m15,p_idioma,o_idi_es,Definir idioma de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-SPRAS,ES,
m16,p_idioma,o_idi_en,Definir idioma de la sociedad,OX02,Estructura de la empresa > Definición > Gestión financiera > Tratar sociedad,T001-SPRAS,EN,
m17,p_plan_cuentas,o_pc_exist,Asignar sociedad al plan de cuentas existente,OB62,Gestión financiera > Contabilidad principal > Cuentas de mayor > Datos maestros > Preparativos > Asignar sociedad a plan de cuentas,T001-KTOPL,Plan corporativo (ej. PCGC),Crear los segmentos de sociedad de las cuentas con FS00/OB_GLACC11.
m18,p_plan_cuentas,o_pc_nuevo,Definir plan de cuentas nuevo y asignarlo a la sociedad,OB13 + OB62,Gestión financiera > Contabilidad principal > Cuentas de mayor > Datos maestros > Preparativos > Tratar lista de planes de cuentas,T004 / T001-KTOPL,Nuevo ID de plan de cuentas,Definir también grupos de cuentas (OBD4) y cuentas de retención de beneficios (OB53).
m19,p_plan_cuentas,o_pc_pais,Asignar plan corporativo y plan alternativo de país,OB62,Gestión financiera > Contabilidad principal > Cuentas de mayor > Datos maestros > Preparativos > Asignar sociedad a plan de cuentas,T001-KTOPL / T001-KTOP2,"KTOPL = corporativo; KTOP2 = plan local",Mantener el número de cuenta alternativo en el dato maestro de cada cuenta (FS00).
m20,p_ejercicio,o_ej_k4,Asignar variante de ejercicio K4 a la sociedad,OB37,Gestión financiera > Parametrizaciones básicas > Ejercicio y períodos contables > Asignar sociedad a variante de ejercicio,T001-PERIV,K4 (12 períodos + 4 especiales),K4 es la variante estándar de año calendario.
m21,p_ejercicio,o_ej_despl,Crear variante de ejercicio desplazado y asignarla,OB29 + OB37,Gestión financiera > Parametrizaciones básicas > Ejercicio y períodos contables > Actualizar variante de ejercicio,T009 / T001-PERIV,Variante nueva o estándar (ej. V3 abril-marzo),Verificar si existe variante estándar antes de crear una nueva.
