grupo,equipo1,equipo2,goles_esp_1,goles_esp_2,marcador_prob,prob_marcador_pct,prob_victoria_1_pct,prob_empate_pct,prob_victoria_2_pct,resultado_predicho,elo_1,elo_2,xg_1,xg_2,xga_1,xga_2,ppg_1,ppg_2,forma_1,forma_2
A,USA,Ecuador,1.69,1.27,1-1,12.54,45.97,26.75,27.28,USA,1920,1875,1.75,1.48,0.92,1.12,2.12,1.78,0.837,0.695
A,USA,Bolivia,2.29,0.72,2-0,12.98,72.09,19.04,8.87,USA,1920,1768,1.75,0.82,0.92,1.95,2.12,0.89,0.837,0.278
A,USA,Panama,1.75,1.13,1-1,12.55,50.51,26.47,23.02,USA,1920,1712,1.75,1.42,0.92,0.98,2.12,1.75,0.837,0.659
A,Ecuador,Bolivia,1.95,0.82,2-0,11.97,62.84,23.59,13.57,Ecuador,1875,1768,1.48,0.82,1.12,1.95,1.78,0.89,0.695,0.278
A,Ecuador,Panama,1.44,1.25,1-1,13.79,40.01,28.88,31.11,Ecuador,1875,1712,1.48,1.42,1.12,0.98,1.78,1.75,0.695,0.659
A,Bolivia,Panama,0.82,1.75,1-1,12.42,15.87,26.13,58.0,Panama,1768,1712,0.82,1.42,1.95,0.98,0.89,1.75,0.278,0.659
B,Mexico,Venezuela,1.77,1.19,1-1,12.33,49.47,26.23,24.3,Mexico,1918,1790,1.68,1.4,1.0,1.28,2.0,1.56,0.763,0.682
B,Mexico,Jamaica,1.74,1.05,1-1,12.68,51.98,26.58,21.45,Mexico,1918,1698,1.68,1.25,1.0,1.1,2.0,1.5,0.763,0.655
B,Mexico,Cameroon,1.46,1.27,1-1,13.68,39.95,28.7,31.36,Mexico,1918,1760,1.68,1.48,1.0,0.72,2.0,2.0,0.763,0.718
B,Venezuela,Jamaica,1.39,1.26,1-1,13.98,38.22,29.26,32.52,Venezuela,1790,1698,1.4,1.25,1.28,1.1,1.56,1.5,0.682,0.655
B,Venezuela,Cameroon,1.14,1.5,1-1,13.76,27.16,28.78,44.06,Cameroon,1790,1760,1.4,1.48,1.28,0.72,1.56,2.0,0.682,0.718
B,Jamaica,Cameroon,1.0,1.47,1-1,14.03,24.01,29.47,46.52,Cameroon,1698,1760,1.25,1.48,1.1,0.72,1.5,2.0,0.655,0.718
C,Morocco,Canada,1.67,1.18,1-1,12.85,47.54,27.1,25.36,Morocco,1944,1815,1.72,1.7,0.55,0.95,2.33,2.06,0.849,0.731
C,Morocco,South Korea,1.58,1.17,1-1,13.34,45.35,27.99,26.66,Morocco,1944,1878,1.72,1.62,0.55,0.88,2.33,2.0,0.849,0.74
C,Morocco,Honduras,1.9,0.78,2-0,12.45,62.78,24.01,13.21,Morocco,1944,1702,1.72,1.2,0.55,1.15,2.33,1.44,0.849,0.517
C,Canada,South Korea,1.4,1.48,1-1,13.17,34.21,27.91,37.88,South Korea,1815,1878,1.7,1.62,0.95,0.88,2.06,2.0,0.731,0.74
C,Canada,Honduras,1.68,1.02,1-1,12.99,51.52,27.17,21.31,Canada,1815,1702,1.7,1.2,0.95,1.15,2.06,1.44,0.731,0.517
C,South Korea,Honduras,1.68,0.95,1-1,12.97,53.12,27.13,19.75,South Korea,1878,1702,1.62,1.2,0.88,1.15,2.0,1.44,0.74,0.517
D,Brazil,Ivory Coast,1.63,1.42,1-1,12.39,41.29,26.79,31.92,Brazil,2032,1840,1.98,1.7,0.97,0.65,2.11,2.17,0.75,0.863
D,Brazil,Paraguay,1.96,1.14,1-1,11.33,55.18,24.37,20.45,Brazil,2032,1845,1.98,1.38,0.97,1.2,2.11,1.67,0.75,0.68
D,Brazil,Tunisia,1.67,1.15,1-1,12.95,48.02,27.23,24.75,Brazil,2032,1772,1.98,1.38,0.97,0.62,2.11,2.0,0.75,0.734
D,Ivory Coast,Paraguay,1.69,1.09,1-1,12.92,49.96,27.09,22.95,Ivory Coast,1840,1845,1.7,1.38,0.65,1.2,2.17,1.67,0.863,0.68
D,Ivory Coast,Tunisia,1.4,1.09,1-1,14.29,42.4,29.94,27.67,Ivory Coast,1840,1772,1.7,1.38,0.65,0.62,2.17,2.0,0.863,0.734
D,Paraguay,Tunisia,1.11,1.38,1-1,14.34,28.41,30.04,41.55,Tunisia,1845,1772,1.38,1.38,1.2,0.62,1.67,2.0,0.68,0.734
E,Argentina,Australia,1.93,1.32,1-1,11.17,50.5,24.72,24.78,Argentina,2109,1865,2.18,1.65,0.89,0.7,2.47,2.2,0.841,0.863
E,Argentina,Saudi Arabia,2.1,1.13,1-1,10.57,58.59,22.99,18.42,Argentina,2109,1810,2.18,1.45,0.89,0.88,2.47,1.9,0.841,0.785
E,Argentina,Chile,2.33,1.13,2-1,9.65,63.34,20.8,15.86,Argentina,2109,1855,2.18,1.52,0.89,1.3,2.47,1.5,0.841,0.708
E,Australia,Saudi Arabia,1.52,1.17,1-1,13.63,43.78,28.53,27.69,Australia,1865,1810,1.65,1.45,0.7,0.88,2.2,1.9,0.863,0.785
E,Australia,Chile,1.73,1.17,1-1,12.55,49.09,26.57,24.35,Australia,1865,1855,1.65,1.52,0.7,1.3,2.2,1.5,0.863,0.708
E,Saudi Arabia,Chile,1.5,1.3,1-1,13.36,40.48,28.16,31.35,Saudi Arabia,1810,1855,1.45,1.52,0.88,1.3,1.9,1.5,0.785,0.708
F,France,Belgium,1.83,1.39,1-1,11.47,46.83,25.38,27.79,France,2066,1972,2.05,1.85,0.72,0.88,2.4,2.1,0.888,0.763
F,France,Iran,1.91,1.06,1-1,11.71,55.99,24.77,19.24,France,2066,1818,2.05,1.42,0.72,0.78,2.4,2.0,0.888,0.757
F,France,Nigeria,1.84,1.2,1-1,11.95,51.03,25.59,23.38,France,2066,1828,2.05,1.58,0.72,0.68,2.4,2.17,0.888,0.875
F,Belgium,Iran,1.6,1.19,1-1,13.18,45.43,27.72,26.84,Belgium,1972,1818,1.85,1.42,0.88,0.78,2.1,2.0,0.763,0.757
F,Belgium,Nigeria,1.54,1.34,1-1,13.1,40.48,27.77,31.75,Belgium,1972,1828,1.85,1.58,0.88,0.68,2.1,2.17,0.763,0.875
F,Iran,Nigeria,1.17,1.39,1-1,14.21,29.98,29.71,40.32,Nigeria,1818,1828,1.42,1.58,0.78,0.68,2.0,2.17,0.757,0.875
G,Spain,Serbia,1.95,1.14,1-1,11.42,54.88,24.51,20.61,Spain,2002,1845,2.1,1.6,0.6,0.95,2.4,1.9,0.849,0.793
G,Spain,South Africa,1.91,0.96,1-1,11.72,58.41,24.57,17.02,Spain,2002,1768,2.1,1.35,0.6,0.78,2.4,1.83,0.849,0.753
G,Spain,Uzbekistan,1.81,1.12,1-1,12.23,52.01,25.87,22.12,Spain,2002,1752,2.1,1.6,0.6,0.6,2.4,2.2,0.849,0.824
G,Serbia,South Africa,1.39,1.22,1-1,14.09,39.15,29.47,31.38,Serbia,1845,1768,1.6,1.35,0.95,0.78,1.9,1.83,0.793,0.753
G,Serbia,Uzbekistan,1.29,1.41,1-1,13.8,32.86,28.93,38.21,Uzbekistan,1845,1752,1.6,1.6,0.95,0.6,1.9,2.2,0.793,0.824
G,South Africa,Uzbekistan,1.09,1.37,1-1,14.43,28.09,30.29,41.61,Uzbekistan,1768,1752,1.35,1.6,0.78,0.6,1.83,2.2,0.753,0.824
H,Germany,Japan,1.78,1.38,1-1,11.73,45.69,25.77,28.54,Germany,1984,1905,2.28,1.68,0.78,0.62,2.5,2.25,0.824,0.849
H,Germany,Austria,1.91,1.4,1-1,11.01,48.24,24.77,26.99,Germany,1984,1888,2.28,1.74,0.78,0.8,2.5,2.1,0.824,0.882
H,Germany,Algeria,1.81,1.26,1-1,11.98,48.94,25.81,25.24,Germany,1984,1832,2.28,1.52,0.78,0.55,2.5,2.33,0.824,0.855
H,Japan,Austria,1.46,1.37,1-1,13.34,38.12,28.16,33.72,Japan,1905,1888,1.68,1.74,0.62,0.8,2.25,2.1,0.849,0.882
H,Japan,Algeria,1.35,1.22,1-1,14.24,38.33,29.77,31.9,Japan,1905,1832,1.68,1.52,0.62,0.55,2.25,2.33,0.849,0.855
H,Austria,Algeria,1.37,1.33,1-1,13.82,36.54,28.96,34.5,Austria,1888,1832,1.74,1.52,0.8,0.55,2.1,2.33,0.882,0.855
I,England,Senegal,1.54,1.52,1-1,12.4,36.99,26.88,36.13,England,2038,1910,1.95,1.8,0.85,0.58,2.2,2.5,0.773,0.944
I,England,Turkey,1.82,1.29,1-1,11.83,48.58,25.66,25.76,England,2038,1868,1.95,1.65,0.85,0.98,2.2,1.9,0.773,0.791
I,England,Peru,2.15,1.0,1-1,10.38,62.58,22.14,15.28,England,2038,1808,1.95,1.35,0.85,1.42,2.2,1.39,0.773,0.596
I,Senegal,Turkey,1.73,1.22,1-1,12.44,47.95,26.49,25.57,Senegal,1910,1868,1.8,1.65,0.58,0.98,2.5,1.9,0.944,0.791
I,Senegal,Peru,2.06,0.94,1-1,10.83,62.34,22.8,14.86,Senegal,1910,1808,1.8,1.35,0.58,1.42,2.5,1.39,0.944,0.596
I,Turkey,Peru,1.77,1.15,1-1,12.38,50.49,26.22,23.3,Turkey,1868,1808,1.65,1.35,0.98,1.42,1.9,1.39,0.791,0.596
J,Portugal,Croatia,1.96,1.39,1-1,10.76,49.59,24.38,26.03,Portugal,2010,1960,2.42,1.78,0.65,0.7,2.6,2.2,0.934,0.882
J,Portugal,Egypt,1.95,1.23,1-1,11.23,52.84,24.53,22.63,Portugal,2010,1838,2.42,1.55,0.65,0.5,2.6,2.5,0.934,0.944
J,Portugal,Costa Rica,2.47,0.89,2-0,10.63,71.26,18.33,10.41,Portugal,2010,1718,2.42,1.3,0.65,1.08,2.6,1.56,0.934,0.661
J,Croatia,Egypt,1.43,1.29,1-1,13.73,38.6,28.8,32.6,Croatia,1960,1838,1.78,1.55,0.7,0.5,2.2,2.5,0.882,0.944
J,Croatia,Costa Rica,1.89,0.93,1-1,11.8,58.63,24.69,16.68,Croatia,1960,1718,1.78,1.3,0.7,1.08,2.2,1.56,0.882,0.661
J,Egypt,Costa Rica,1.71,0.89,1-1,12.79,55.17,26.8,18.03,Egypt,1838,1718,1.55,1.3,0.5,1.08,2.5,1.56,0.944,0.661
K,Netherlands,Denmark,1.58,1.59,1-1,11.93,36.75,26.3,36.95,Denmark,1988,1930,1.92,1.9,0.9,0.72,2.2,2.3,0.844,0.824
K,Netherlands,Ghana,1.74,1.15,1-1,12.57,49.86,26.54,23.6,Netherlands,1988,1762,1.92,1.42,0.9,0.75,2.2,1.83,0.844,0.757
K,Netherlands,New Zealand,1.65,1.22,1-1,12.86,46.07,27.2,26.73,Netherlands,1988,1648,1.92,1.55,0.9,0.48,2.2,2.5,0.844,0.815
K,Denmark,Ghana,1.68,1.09,1-1,12.96,49.76,27.17,23.07,Denmark,1930,1762,1.9,1.42,0.72,0.75,2.3,1.83,0.824,0.757
K,Denmark,New Zealand,1.6,1.16,1-1,13.27,45.9,27.85,26.26,Denmark,1930,1648,1.9,1.55,0.72,0.48,2.3,2.5,0.824,0.815
K,Ghana,New Zealand,1.11,1.28,1-1,14.7,30.35,30.95,38.7,New Zealand,1762,1648,1.42,1.55,0.75,0.48,1.83,2.5,0.757,0.815
L,Colombia,Uruguay,1.69,1.49,1-1,11.84,41.34,26.12,32.54,Colombia,1936,1930,1.82,1.6,1.05,1.1,2.17,1.94,0.824,0.791
L,Colombia,Switzerland,1.53,1.59,1-1,12.12,35.32,26.52,38.15,Switzerland,1936,1900,1.82,1.72,1.05,0.78,2.17,2.2,0.824,0.87
L,Colombia,Ukraine,1.7,1.38,1-1,12.16,43.86,26.38,29.76,Colombia,1936,1844,1.82,1.55,1.05,1.0,2.17,1.8,0.824,0.785
L,Uruguay,Switzerland,1.36,1.63,1-1,12.61,30.57,27.02,42.41,Switzerland,1930,1900,1.6,1.72,1.1,0.78,1.94,2.2,0.791,0.87
L,Uruguay,Ukraine,1.53,1.41,1-1,12.9,38.82,27.52,33.66,Uruguay,1930,1844,1.6,1.55,1.1,1.0,1.94,1.8,0.791,0.785
L,Switzerland,Ukraine,1.64,1.26,1-1,12.85,44.84,27.25,27.92,Switzerland,1900,1844,1.72,1.55,0.78,1.0,2.2,1.8,0.87,0.785
